node;degree;strength;clustering_coefficient;average_path_length;betweenness_centrality;eigenvector_centrality;pagerank;pagerank_num
MIA;110;462297.0;0.1993327773144287;3.0168648050870885;0.03169742921004559;0.09375705843734707;0.005142774903198519;24.0
JNB;84;206233.0;0.1267928858290304;3.0135471385125796;0.03850001424032907;0.056356850340611844;0.004986859783583397;25.0
MSP;116;520027.0;0.18620689655172415;3.047553220901299;0.023671808595476372;0.0778392831871507;0.004943589180192022;26.0
DEN;119;516210.0;0.15368181170773393;3.186618744816146;0.021259627681606618;0.0688728334042551;0.0049378107062608605;27.0
SEL;95;465971.0;0.15722284434490483;2.839646115565386;0.037623849899549394;0.05855585553514991;0.004902265912634822;28.0
BUE;76;209760.5;0.08596491228070176;3.108377108100636;0.03899454445876989;0.03628242675013592;0.004892001030543879;29.0
TPE;49;474296.5;0.23129251700680273;3.0691180536356097;0.017419560213604492;0.022763130137007502;0.004798692901626915;30.0
SFO;85;568048.0;0.27647058823529413;2.907934752557368;0.014454806948459761;0.08369503815623518;0.004683013889613918;31.0
STO;100;327986.0;0.17757575757575758;3.0729886646392037;0.019260599066919074;0.08627936191123455;0.004612892945428063;32.0
OSA;90;477169.5;0.13632958801498127;2.9170583356372686;0.025405287878193454;0.05118162544766803;0.004530753068554619;33.0
PHX;100;581902.0;0.2381818181818182;3.187724633674316;0.007745960326082891;0.07163394942211761;0.0045244207730036415;34.0
BJS;109;349009.0;0.15562351342167857;3.000552944429085;0.02318567156764715;0.06369470821969131;0.004486883051238371;35.0
ROM;134;414601.0;0.18651105375378746;2.8294166436273156;0.023726847151044703;0.12665316498435764;0.0044588464351883435;36.0
WAS;112;597248.0;0.2425997425997426;3.0102294719380702;0.0071677615666968205;0.10372187470988901;0.004455733104177764;37.0
DTT;113;562513.5;0.22439949431099873;3.0063588609344762;0.01007732208723668;0.09302278563822285;0.004291016023324517;38.0
MEX;85;346452.5;0.14061624649859944;3.1443184959911528;0.018064704866778768;0.05212306598944256;0.004255771854815306;39.0
MIL;129;391815.5;0.20712209302325582;2.8880287531103126;0.015253724470119188;0.12993887903948106;0.004073450106655971;40.0
CPH;107;312944.5;0.21812731440663022;2.922034835499032;0.027080530811755897;0.10415575958392394;0.003986839637954337;41.0
ZRH;143;356542.0;0.19925145277257952;2.8147636162565663;0.017338925015827303;0.14589471506400017;0.00393949147983724;42.0
BRU;137;351752.5;0.1963288965221125;2.974011611833011;0.011526933916433038;0.1304182453459902;0.003749573013520485;43.0
BOS;87;465490.5;0.2956428762363005;3.0486591097594693;0.008767746184053418;0.08780850813162931;0.003730537938181083;44.0
KUL;77;242408.5;0.20437457279562543;3.006911805363561;0.024538565805045955;0.05078464345969182;0.0036901115870856724;45.0
STL;100;479420.5;0.25555555555555554;3.1445949682056953;0.006114320321189178;0.07788752343327066;0.003683464539819989;46.0
POM;38;11241.0;0.06543385490753911;3.7450926181918716;0.06432333262687207;0.001673837467713918;0.0036694837699121872;47.0
MUC;143;351832.5;0.19639515414163303;2.9825822504838264;0.008585744426161805;0.13776386218161243;0.003665852589727739;48.0
OSL;59;256945.5;0.255406195207481;3.2867016864805088;0.019971462192462045;0.0576427105556907;0.0036162433473023526;49.0
MNL;67;200387.0;0.11216644052464948;3.1208183577550455;0.034735584716954836;0.02425998722938471;0.0034381392935864266;50.0
AKL;44;130494.0;0.17230443974630022;3.2526956040917887;0.019552600676725165;0.011544059106947188;0.0034196510479872363;51.0
LAS;78;459907.0;0.35364635364635366;3.1257948576168095;0.005035508553154577;0.06880283749510271;0.0034052573070655046;52.0
SHA;81;293984.0;0.20030864197530865;3.0771357478573402;0.01034663381695568;0.03745201124009702;0.0033653038986452325;53.0
HNL;51;302226.0;0.21098039215686273;3.118606580038706;0.03097308371567018;0.03027694590192977;0.0033525779705039344;54.0
DXB;100;209713.5;0.20606060606060606;3.008017694221731;0.015409314731808649;0.07789253590915493;0.0032902694275009576;55.0
BOM;66;180677.0;0.1958041958041958;3.123030135471385;0.011563498839920196;0.04364414485869652;0.0032674535499155055;56.0
YVR;65;212343.0;0.1951923076923077;3.035388443461432;0.022399413251007957;0.048867149196985385;0.0032554756155812772;57.0
BOG;49;139786.0;0.18962585034013604;3.2670721592479954;0.01498636123606566;0.02789092530319402;0.0032545962592107794;58.0
PHL;101;418337.5;0.2584158415841584;3.12358307990047;0.004774656323574779;0.08946830671682537;0.003205169461359663;59.0
IST;116;194081.0;0.20134932533733133;2.9820293060547414;0.014957626946422626;0.10727654826244368;0.0031864127453449043;60.0
PIT;114;342226.0;0.1926719453501009;3.147636162565662;0.012157064150089582;0.0800743170274026;0.0031539006238404895;61.0
ATH;95;182107.0;0.2091825307950728;3.0439590821122477;0.01649081205710949;0.08665962311925315;0.0030640598673012664;62.0
CLT;100;376898.5;0.2408080808080808;3.15648327343102;0.006770865546444441;0.07872577881240268;0.003029180123745599;63.0
JKT;38;158648.5;0.17354196301564723;3.429361349184407;0.010395102700787182;0.01217206213442301;0.0029953117382731215;64.0
RIO;29;205399.0;0.26354679802955666;3.3301078241636715;0.0047637815869360865;0.022291391263135816;0.002890662109523473;65.0
ORL;86;388643.5;0.32393980848153214;3.1653303842963783;0.004666379015845888;0.07957699618128988;0.0028352925694599645;66.0
BCN;80;289105.0;0.3284810126582278;3.2739839646115567;0.0019323009092833434;0.08914620248742586;0.0028164954275167165;67.0
JED;82;148078.0;0.19301415236374586;3.097041747304396;0.01295750750629591;0.054568171799584196;0.0027792735796827303;68.0
CAN;80;204848.0;0.17120253164556962;3.316560685651092;0.00760179006009519;0.015298726914762285;0.0027744246073382233;69.0
HEL;64;184418.5;0.23809523809523808;3.1310478296931157;0.010766457037930542;0.06256633562501307;0.0027192802529002577;70.0
SLC;66;268953.0;0.26946386946386947;3.3536079623997788;0.006038016069697751;0.04568358195140343;0.002652130257910354;71.0
CCS;53;125480.0;0.18287373004354138;3.2714957146806745;0.01383475658850609;0.039625264970419585;0.002501348989001738;72.0
CVG;109;347611.0;0.2529731566428814;3.1451479126347803;0.0024997427490573987;0.08685891189314957;0.002492830739827548;73.0
PER;44;72698.5;0.12156448202959831;3.371302184130495;0.020668624627807684;0.008859232625786485;0.002411133085848808;74.0
VIE;115;200903.5;0.2448512585812357;2.9892175836328447;0.0064598849887658955;0.11912555311287341;0.002385648005404756;75.0
RUH;60;127436.0;0.2542372881355932;3.141277301631186;0.008503657683316675;0.042806841955642036;0.002376628165675375;76.0
DEL;63;128854.0;0.21658986175115208;3.121647774398673;0.010792031769000903;0.04540846773729008;0.002359285528468482;77.0
NBO;47;58163.0;0.17668825161887142;3.3956317390102293;0.009419868107109475;0.026441538323331747;0.002329351930637128;78.0
THR;60;80969.0;0.1864406779661017;3.2015482444014376;0.012218878724191237;0.04962211965514936;0.0023254572891715183;79.0
DUS;110;215558.0;0.23819849874895746;3.1586950511473595;0.0029107145034123695;0.11017660588795232;0.002214318690847023;80.0
CNS;35;45115.0;0.10588235294117647;3.4658556815040087;0.0209746760239077;0.0049711801080612895;0.0021782465264451024;81.0
FUK;41;252042.0;0.27439024390243905;3.463367431573127;0.001585783147248417;0.012416087203745013;0.002177003241260297;82.0
YMQ;68;151273.0;0.2317822651448639;3.0729886646392037;0.0273229306035833;0.0702818797308215;0.0021686611639773258;83.0
SPK;35;239138.0;0.22016806722689075;3.4675145147912634;0.0004928557406737603;0.009314721974395963;0.002088325729137132;84.0
BWI;64;298982.0;0.45783730158730157;3.254077965164501;0.0006398438314706642;0.06463652556783123;0.0020500465326450854;85.0
FAI;34;14880.0;0.049910873440285206;3.8968758639756707;0.019891332360804488;0.001452766596304263;0.0020382330677124884;86.0
BSB;27;100050.0;0.18518518518518517;4.068565109206525;0.003101262196228336;0.0020671151748884037;0.001956538947890289;87.0
PDX;45;207143.0;0.38282828282828285;3.2438484932264307;0.004074083700616001;0.037233201708791096;0.0019516569685924584;88.0
YYC;38;119181.5;0.27880512091038406;3.1971246889687586;0.00578256889746457;0.030111022521657264;0.0019500037547591832;89.0
CAI;82;114584.5;0.2956940680517916;3.0456179153995024;0.008242713145770124;0.08507308917962748;0.001914503690581544;90.0
BER;89;182219.0;0.3225229826353422;3.3370196295272323;0.0016307995429373891;0.09577079282071135;0.0019035806361094817;91.0
SCL;34;101200.0;0.2281639928698752;3.4957146806745922;0.010350032338133187;0.01771256732360163;0.0018965042408399424;92.0
ALG;56;59255.5;0.19350649350649352;3.447608515344208;0.010420559904752156;0.04143097472998947;0.0017604626111332503;93.0
ADL;24;60967.0;0.17028985507246377;3.6333978435167267;0.006582875980177842;0.003892034728443601;0.001749979895699397;94.0
KHI;47;74526.0;0.24514338575393155;3.4124965440973183;0.007434032405201577;0.02513809872435031;0.0017377743427179166;95.0
CPT;19;78292.5;0.19298245614035087;3.428255460326237;0.003017246674397185;0.011754666357704556;0.0017257724281534359;96.0
DUB;52;159924.0;0.32654600301659126;3.1940834946087917;0.0036787796238943273;0.06401940399625652;0.0017097223742302083;97.0
HAM;77;157365.0;0.3287764866712235;3.3784904617085982;0.0037494394248073918;0.08106991482654888;0.0016992700110054488;98.0
MEM;78;203924.0;0.2677322677322677;3.276195742327896;0.0046737508109128655;0.05882709217645777;0.0016904386675474945;99.0
MKC;59;210132.0;0.4114552893045003;3.3834669615703623;0.0037873579735455843;0.05285505075839799;0.0016647878464308842;100.0
WLG;22;60924.5;0.18614718614718614;4.093447608515344;0.0014663927322640627;0.001087571206294239;0.0016248537715891275;101.0
FLL;56;207385.5;0.39415584415584415;3.2667956870334534;0.0023635250104164945;0.05377884499224988;0.0016237298559245105;102.0
YWG;35;50186.5;0.14285714285714285;3.6118330107824166;0.027287584232137157;0.013492546023386346;0.0016176431211716823;103.0
CHC;20;64158.5;0.25263157894736843;3.566215095382914;0.0033674456741424356;0.004187810270322533;0.0016153745999357202;104.0
SAN;36;221063.5;0.746031746031746;3.3906552391484657;3.205275518567354e-05;0.044286223482067656;0.0016006299870666672;105.0
LIS;53;123973.0;0.34615384615384615;3.2543544373790434;0.0067847575711849585;0.0611624042714942;0.0015658600398525684;106.0
LIM;35;72961.5;0.253781512605042;3.280619297760575;0.009488475458396317;0.02378594791267361;0.0015608594875300527;107.0
SJU;53;140684.0;0.27866473149492016;3.2690074647497926;0.004681412176728233;0.0474416523784856;0.0015548084146344782;108.0
TPA;56;220368.5;0.5175324675324675;3.229471938070224;0.0008609705893463585;0.062415534799279464;0.001553061887706908;109.0
SJC;37;205896.5;0.5705705705705706;3.2778545756151507;0.00028907767191829525;0.0389561963544924;0.0015507701411441284;110.0
YEA;26;62058.0;0.2923076923076923;3.4575615150677357;0.015360872327123196;0.015448758346500474;0.0015499690302586866;111.0
BET;30;4996.0;0.03908045977011494;4.197401161183301;0.0167874714367386;0.0002918780015043434;0.0015303165134993163;112.0
KHH;20;157931.0;0.29473684210526313;3.543544373790434;0.0017435443018080062;0.006980074313032521;0.0015278959768117027;113.0
MAN;75;148923.0;0.3441441441441441;3.1025711915952447;0.0026696474103483033;0.09350991022090512;0.0015200350857346337;114.0
TNR;31;10459.0;0.1032258064516129;3.5875034559026817;0.019510878898181965;0.005902277014896726;0.001517514910498821;115.0
LAE;14;3819.0;0.10989010989010989;4.7285042853193255;0.008836417664582232;3.323309073798174e-05;0.0015152071815785037;116.0
NGO;50;155282.5;0.1983673469387755;3.104782969311584;0.004356908650006434;0.02379528905573889;0.0014906328810549711;117.0
NCE;54;129932.5;0.40111809923130676;3.3019076582803426;0.0017983616070722346;0.06575646636410874;0.001459322083268379;118.0
CLE;77;207826.0;0.372863978127136;3.2593309372408075;0.0006102405137785995;0.06949831109092752;0.0014477176651851147;119.0
OKA;34;141975.0;0.24777183600713013;3.6472214542438484;0.0031630552709060026;0.007492411071748846;0.0014440477122797638;120.0
PPT;29;16870.0;0.08866995073891626;3.517555985623445;0.012824973375696564;0.0049576804539626295;0.0014093331870943045;121.0
TLV;69;107578.0;0.3294970161977835;3.0558473873375727;0.005547662431511856;0.08158765156984353;0.001376156816503874;122.0
KMG;47;91560.5;0.3108233117483811;3.570638650815593;0.004414360549310945;0.009151795568404657;0.0013557469111622872;123.0
JNU;18;11595.0;0.0392156862745098;3.908487696986453;0.00767004884140303;0.0014656695894202448;0.0013191003241568452;124.0
